name,review,date,rating
Kushal Agarwal,"This company is really awesome. People here are really friendly and if you have any problem they understands it first and then provides solutions for the same, and if they can't they say on your face. This is know as professionalism. Loved …",3 months ago, 5 stars 
susanta apple,Unified is  the best company I have seen in my experience. very friendly environment always gets salary on time always gets motivated to see a healthy competition in this company.working here for more than 3yrs..,4 months ago, 5 stars 
SAHIL SARDAR,"As a fresher, this company provides us a huge scope to gear up for developing future career bright. UIPL Team provide us opportunity to learn new technology stacks according to the pace of time. Profession Life & Personal Life is balanced …",4 months ago, 5 stars 
Devendra kurmi,I have been working in this company in QA team for more than a 6 month. The office has a great productive work environment. A great place to start your career and team members are really helpful. you will get to learn and work with team …,7 months ago, 5 stars 
Confusedbro,Software Provider,2 years ago, 5 stars 
Biswajit Paul,"Probably the best IT company in Salt Lake, Kolkata. I love working with my colleagues. They are extremely talented and helpful.",4 months ago, 5 stars 
Subhajyoti Sinharoy,"I joined Unified in Oct 2019. It is a pleasure to be associated with Unified.

It is a healthy organization, it strategically integrates employee well-being into its business objectives by giving opportunities across service lines and …",4 months ago, 5 stars 
Suman Paul,Great place to work. Exposure to lots of technologies. HR team and Colleagues are exceptionally helpful.,4 months ago, 4 stars 
Payel Saha,I have been working here for more than 1 years. Good and friendly work environment. Management & Team are very supportive. Good to learn new things.,7 months ago, 5 stars 
Barkat Ali,"I have join unified for less than a year its great work experience. Team lead , tech lead and other team members are very help full. Get salary on 1st date of every month .Every Friday they have fun day. At last its great place to join work.",7 months ago, 5 stars 
Writayan Das,Unified is a fantastic place to work. Colleagues are helpful and friendly. Salary is always on time. The company is growing and performing very will even during this COVID pandemic.,7 months ago, 5 stars 
Mohana Khatib,"It is a pleasure to work with Unified Infotech. High quality professionals with intention to fully understand the needs of the project, they make sure the client is fully satisfied. Highly recommended, super friendly, experts in every aspect and we are definitely looking forward to more collaboration.",7 months ago, 5 stars 
Rajat Naru,Good and friendly work environment. Highly professional. New and updated technologies. Very strict salary date. I will highly recommend Unified Infotech to all those who want to excel in their lives.,7 months ago, 5 stars 
Amit Hazra,"There's no change before and after covid situation. We are well connected with company and getting all benefits and support.
Management is always helpful. Always guide us to give our best to develop best quality product.",7 months ago, 5 stars 
Mahuya Roy,"I am working here almost 1 and half years and I want to say that all seniors, HR team and  colleagues are very helpful. cooperative working environment. :)",7 months ago, 5 stars 
Avi Dey,"Great place to work.
Work culture is great.Seniors are also very helpful,One of the best software development company. Good to learn new things.I am very happy to be part of UIPL family.",7 months ago, 5 stars 
Suman Rana,I have been working here for more than 1.5 years. A great place to work . Seniors are very helpful and very supportive. And also a great place to learn new technologies.,7 months ago, 5 stars 
ravi saurav,I am working with UIPL for the last 7 months. Its been amazing to work here. Team member are very supportive and management always encourage employees feedback.,7 months ago, 5 stars 
Tanmoy Samanta,"Positive: Professionalism, Quality, Value
I have been working as UIUX developer for 2 months in the company. I have learnt a lot, from our Tech leads in training session. Everybody in the company, is very helpful, active and cooperative.I …",7 months ago, 5 stars 
anusua das,"Being a new joiner in this organisation (during lockdown phase), I have received immense support and faith for me.  Team leaders and Colleagues are very much helpful and entire ambience are great in here. Working culture are way too much professional So, all the way I like it.",7 months ago, 5 stars 
Monimoy Chakraborty,I have the worst working experience here. I  found a very bad working environment here. The funniest thing is instead of you are having a TL and PM you have to explain your work every day to the CEO(Mr. Pratip Biswas) before you leave. You have to wait in a queue in front of his cabin.,6 months ago, 1 star 
Debashish Gope,"I am working at unified infotech from last 6 month to till now, and i am getting better result day by day into my professional field. Thank you unified to give me an opportunity.",7 months ago, 5 stars 
U S,"I have started my career with Unified Infotech Pvt Ltd and it's almost 1.5 years now. A great place to start your career with, TLs are like your mentors, you can grow with the company , learn new technologies with the coachings provided …",7 months ago, 5 stars 
Setanjan Roy,Good place to work. Exposure to lots of technologies. Workload is also very manageable.,7 months ago, 5 stars 
Hemant Agarwal,I am having a good experience with UIPL as an employee. I have been training with team UIPL from past 4 months and they have been very much particular about quality training which has benefitted me in a very positive way. The team is very …,7 months ago, 5 stars 
Arindam Sarkar,"I have been here for 5 months. UIPL is a very professional and responsive company. They always deliver good quality. As a freshy I have learnt many things. But the most exciting part is UI/UX Designing & Development, in which I am currently working. Glad to be here. Thank you UIPL.",7 months ago, 5 stars 
NOoB Gaming,Poor quality. Wasted money by giving them for my website development.,4 months ago, 1 star 
Akash Thapa,"Ample opportunities, a good work environment alongside flexible occupational conditions all make for a solid experience that makes your time spent here worthwhile.",7 months ago, 4 stars 
Arko Mandal,"Good work environment.
Looking forward to a long-term professional relationship with Unified Infotech.",7 months ago, 5 stars 
Moumita Joardar,"Good Company, good work environment and all the seniors are very helpful and cooperative and a very good place for more new things for learning.",7 months ago, 4 stars 
SANCHARI ROY,Excellent place to work.nice atmosphere.friendly co-workers and team. Thanks UIPL.,7 months ago, 5 stars 
Momitha Choubey,"it feels good to work in a positive environment like this, where everyone knows everyone and helping each other for team growth.",7 months ago, 4 stars 
Prantik Saha,Great place to work on new and challenging technologies.,4 months ago, 5 stars 
Rahul Kumar,Professional approach from entire team.,3 months ago, 5 stars 
