name,review,date,rating
Shabuddin SA,Worst app to shop anything.. the offer they give stating that we can use the cred coins if just a trap. They sell defective products.. and then there is not replacement option directly.. they ask us to connect to customer care which is only …,6 days ago, 1 star 
Prashant Kumar Tiwari,"Great place to work!
A pool of intellectuals who are always happy to help.",8 months ago, 5 stars 
Kunal Goyal,Worst app. Customer care number is also not provided I have been writing a mail to people from past 3 days but there's no response. You guys are only rising tickets but no use of it.vey bad experience..guys don't fall for the 100% cash back …,a week ago, 1 star 
Vijay Kumar,"I paid my credit card bill through CRED, amount deducted from my account but CRED have not paid to bank yet it is been 5 days now and my cibil score will go down! There is no customer care support! Never use CRED!!!  Big fraud!",5 days ago, 1 star 
Vatsa Narayanan,Initially there used to be out of technical glitches which led to gaining of frustrations of the customer. But nowadays there seems to be a lot of improvements. The basic idea was good which is to capture the so called credit worthy client …,a year ago, 4 stars 
kish_meaw _,Bad customer care service.. Wanted to book a resort.. Payment of 24000 plus cred points deducted.. no satisfactory response from support team.. And the booking also did not happen.. I don't recommend usage of this app due to such kind of customer care services.,3 weeks ago, 1 star 
Deeksha Bhat,Not a good app and company does not have any ethics. They wasted 12 days of my life and sent a negative feedback. I would have posted this on glassdoor but guess what their company name is not there at all. You can understand from that what kind of people they are.,a month ago, 1 star 
rachitha bp,I have placed an order here on 17th and I still do not have tracking details. It says order tracking isn't available with you. Who will have the order tracking details then. I have raised multiple tickets on the app and no one cares to get …,4 months ago, 1 star 
Ayush Singh Chauhan,Worst app. Don't use it at all. My payment got deducted from my account but didn't get into my credit card account. Even after several reminders and chats Cred is doing nothing to get my money back to me. They are cheaters & fraudsters. …,2 months ago, 1 star 
sujith gopalakrishnan,"Very bad customer service experience, I had made a payment through cred on 4th April and the payment has been credited to my card , when u email or log a complin on the app they don't respond.Insted of spending money on Adds hope their …",a month ago, 1 star 
Prasanth Karunakaran,"As an app to manage multiple credit cards, it does its job. However, there are a lot of apps proving the same service now (Amazon Pay, Paytm, Phonepe etc.). But all these hype you create about cashback and rewards is utter marketing bluff. …",a month ago, 1 star 
Anandu Krishnan,"No 1 fraud company. Please don't trust this company or install there app for doing credit card payments. If you read u will see a few year agreement to track our information is there. Even if we uninstall this app this will exist.
Also …",2 months ago, 1 star 
