name,review,date,rating
Hali Yarla,"I purchased their 20hr package, and they completed all the work within that 20hrs. I worked with kapil, a designer. His web & mobile app designs were the best, didn't need to ask for too many changes. Overall, its a great experience. The best part in the whole process, kapil was very quick and completes the tasks in no time.",4 days ago, 5 stars 
Mayo Elenor,I really had a good experience working with CMARIX for my android application. The Team is really flexible in adopting changes. CMARIX committed to delivering high-quality work while meeting all deadlines. We are pleased with the results of …,3 months ago, 4 stars 
Advik Agarwal,"CMARIX, has proven to be one of the best decisions I made when choosing an employment opportunity. Every asset of their workforce including designers, testers, developers, project managers, and business strategists are empowered to …",a month ago, 5 stars 
Amy Jacksion,"Excellent, the company CMARIX is successful and they understand the customer’s needs and wants. The entire team is really professional and providing seamless communication during any development phase. They also provided great suggestions …",4 months ago, 5 stars 
Olivia Smith,It has been a great experience working with CMARIX Technolabs on an app project. The project manager and development team has been a really good and responsive always ready to help and coordinate. They are well organized and pay attention …,3 months ago, 5 stars 
Mary Allen,CMARIX  is one of the finest mobile app development company that I have worked with. The entire team are highly receptive towards innovative ideas and suggestions. I would totally recommend this company.,2 months ago, 5 stars 
Shahnawaz Memon,"Working with CMARIX has been a great experience. The best place to learn, perform, and grow!

The most amazing part of this company is, it does not let you feel like you are an employee of the company. It feels like a family. Work is good …",2 months ago, 5 stars 
Jazmin Lobach,"I approached CMARIX to craft my startup idea of developing eLearning mobile applications into reality. The first thing that impressed me was a spontaneous response to my query. Being a naïve in the app world, I was not having much idea …",2 months ago, 4 stars 
Securtac Protection Services,"We are a company out in Toronto, Canada who have used CMARIX. WE have been in communication since April of 2019 and since October 2019 we had them start on 2 projects for our online database system.
We are still working closely with Cmarix …",6 months ago, 5 stars 
John Rambo,Have to use pseudo name as I am soft bank funded startup. Had amazing experience working with CMARIX. Met their team in India last year and looking forward to work for next 2 years on executing defined development plan.,8 months ago, 5 stars 
Khuram Malik,"Toronto Ontario Canada-
We have been using CMARIX to create 2 big projects over 20k each Canadian. Each project has taken 3+ months. I did go over budget with the project than what was previously discussed, so things did get delatyed. BUt …",6 months ago, 5 stars 
Hetal Modi,"Superb Company. 5 days working, Great projects and Lovely team. If you like working independently with good team work than this is place for you.",a year ago, 5 stars 
Shalini Panchal,"I must say “CMARIX is great place to work at”

It has almost been a year since I have joined CMARIX. I have learned a lot and learning is a never ending process that I have realized here.

CMARIX is the company who trusts its employees and …",2 years ago, 5 stars 
Santosh Pathak,"I have known CMARIX and its leadership team since early days. They are great team, truly leaders in technology services, and have been providing turnkey solution to several US companies. I haven't worked with them personally in anyway, …",2 years ago, 5 stars 
rohit makwana,Visited for my interview also office infrastructure is Very good and also I decided I'm sure join this company but when I gone for interview after 45 minutes waiting  and after my acknowledgement to peon after this technical person came and …,a year ago, 3 stars 
Harsh Gajjar,CMARIX is an employee friendly company equipped with good infrastructure facility and also has an amazing work environment. You get a good support from your team leads and seniors. A really nice company to work for. That's why CMARIX has been able to outperform its competition consistently over the years.,2 years ago, 5 stars 
pin pasana,"Great company! I am project manager for a company based out in Singapore and I would have to say, I had outstanding experience working with CMARIX. We worked on 2 medium size projects with them & I felt I can outsource my enterprise project …",2 years ago, 5 stars 
Sunny Patel,Been working here since 8+ years and would have to say this is the best decision I have made. Love my job as I get to work with global customers with different requirements and some really talented people. Thanks CMARIX.,2 years ago, 5 stars 
Sara Bhavsar,"CMARIX is a great place to work at. It has proved to be a great learning hub, where you can gain new & polish your existing Technical as well as Soft skills. Working with seasoned & adroit Leaders and Team members, in a very independent &  self-driven working culture also serves to be a great career experience.",3 years ago, 5 stars 
Darshana Patel,Just two months of my journey are so productive here. I would thank my leaders for helping me at each step and improving my knowledge.,2 years ago, 5 stars 
Rinal Shah,"The company that basically focuses on WE. The company that achieves growth together. The knowledge is not just kept with leaders, they share, help you grow and ultimately boosts the company growth.",2 years ago, 5 stars 
Rushi Patel,The company treats us so well. I must say the company has bunch of expert people and undoubtedly this startup has amazing future.,2 years ago, 5 stars 
Ashok Jadav,"I have been working here for two long years now it is a family for me. We work together, play together, eat together and achieve success together.",2 years ago, 4 stars 
Rakesh Purohit,I have learn many things by team work. How to manage work in different situation and Inspiring and friendly environment as a feel like that I have came out of one of my comfort zone. I have learn lot things..All members are good and very supportive.,3 years ago, 5 stars 
Mitesh Modi,CMARIX is a very good place to work. It has Open Culture with Amazing People and great infrastructure to work with.  Always gives opportunity to work freely and independently.,3 years ago, 5 stars 
Amish Soni,CMARIX given me full opportunity to excel in my field. I loved the company's work culture. You can learn a lot of things here if you are open to work hard and like to learn new things,3 years ago, 4 stars 
